Age,CityTier,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,Occupation,Gender,MaritalStatus,Designation,ProductPitched,Passport,OwnCar
43.0,1,3,3.0,6.0,1.0,22950.0,3,6.0,36.0,Self Enquiry,Small Business,Male,Unmarried,Manager,Deluxe,0,1
35.0,3,3,3.0,2.0,2.0,21029.0,4,6.0,13.0,Company Invited,Small Business,Female,Married,Executive,Basic,0,0
41.0,3,3,3.0,4.0,0.0,28591.0,1,3.0,12.0,Self Enquiry,Salaried,Female,Single,Senior Manager,Standard,1,0
33.0,1,2,3.0,1.0,0.0,21949.0,4,4.0,6.0,Self Enquiry,Salaried,Female,Unmarried,Manager,Deluxe,0,0
40.0,1,2,3.0,1.0,0.0,28499.0,4,3.0,15.0,Company Invited,Small Business,Fe Male,Unmarried,Senior Manager,Standard,0,0
26.0,1,3,5.0,1.0,1.0,18102.0,3,3.0,9.0,Company Invited,Large Business,Male,Single,Executive,Basic,0,0
41.0,1,2,5.0,3.0,0.0,18072.0,1,3.0,25.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,0
37.0,1,2,3.0,2.0,1.0,27185.0,3,3.0,17.0,Company Invited,Salaried,Male,Married,Senior Manager,Standard,1,0
31.0,3,2,3.0,4.0,1.0,17329.0,4,4.0,13.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
45.0,3,3,4.0,8.0,2.0,21040.0,3,6.0,8.0,Self Enquiry,Salaried,Male,Single,Manager,Deluxe,0,0
33.0,1,3,5.0,2.0,2.0,18348.0,5,3.0,9.0,Company Invited,Salaried,Male,Single,Executive,Basic,1,1
33.0,1,4,4.0,3.0,1.0,21048.0,4,4.0,9.0,Self Enquiry,Small Business,Female,Divorced,Executive,Basic,0,0
33.0,1,3,3.0,3.0,2.0,21388.0,3,3.0,14.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,1,0
30.0,3,2,3.0,1.0,0.0,21577.0,2,3.0,18.0,Self Enquiry,Large Business,Female,Unmarried,Manager,Deluxe,0,1
42.0,1,2,3.0,7.0,1.0,17759.0,3,2.0,25.0,Company Invited,Small Business,Male,Married,Executive,Basic,1,1
46.0,1,2,3.0,7.0,0.0,32861.0,5,3.0,8.0,Self Enquiry,Salaried,Male,Married,AVP,Super Deluxe,0,1
51.0,1,4,3.0,6.0,3.0,21058.0,5,4.0,16.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
30.0,1,2,3.0,3.0,0.0,21091.0,1,5.0,8.0,Self Enquiry,Salaried,Female,Single,Manager,Deluxe,0,1
37.0,1,3,3.0,6.0,1.0,22366.0,5,3.0,25.0,Company Invited,Salaried,Male,Divorced,Executive,Basic,0,0
28.0,2,2,3.0,2.0,1.0,17706.0,4,3.0,6.0,Company Invited,Salaried,Male,Married,Executive,Basic,0,0
42.0,1,2,5.0,1.0,0.0,28348.0,3,3.0,12.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
44.0,1,2,4.0,1.0,0.0,20933.0,2,3.0,10.0,Self Enquiry,Small Business,Male,Single,Manager,Deluxe,0,1
39.0,1,3,4.0,3.0,1.0,21118.0,1,5.0,9.0,Company Invited,Small Business,Female,Single,Executive,Basic,0,1
42.0,1,2,5.0,4.0,0.0,21545.0,2,2.0,23.0,Self Enquiry,Salaried,Female,Unmarried,Manager,Deluxe,1,0
39.0,1,2,5.0,2.0,1.0,25880.0,5,3.0,28.0,Company Invited,Small Business,Fe Male,Unmarried,Senior Manager,Standard,1,1
28.0,1,2,3.0,1.0,0.0,21674.0,3,5.0,6.0,Company Invited,Salaried,Female,Divorced,Manager,Deluxe,0,1
43.0,1,3,5.0,7.0,1.0,32159.0,5,3.0,20.0,Self Enquiry,Salaried,Male,Married,AVP,Super Deluxe,0,1
45.0,1,4,3.0,3.0,2.0,26656.0,3,4.0,22.0,Self Enquiry,Small Business,Female,Divorced,Senior Manager,Standard,0,0
53.0,1,4,5.0,5.0,2.0,24255.0,4,4.0,13.0,Self Enquiry,Large Business,Male,Married,Manager,Deluxe,1,1
42.0,1,4,5.0,4.0,1.0,20916.0,1,4.0,16.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
36.0,1,3,3.0,7.0,0.0,20237.0,3,3.0,33.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,0,1
22.0,1,4,4.0,3.0,3.0,20748.0,5,5.0,7.0,Self Enquiry,Large Business,Female,Single,Executive,Basic,1,0
37.0,1,4,4.0,2.0,3.0,24592.0,2,4.0,12.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,0
30.0,3,3,4.0,7.0,2.0,24443.0,3,4.0,20.0,Company Invited,Large Business,Fe Male,Unmarried,Manager,Deluxe,0,0
36.0,1,4,5.0,4.0,3.0,28562.0,5,5.0,18.0,Company Invited,Small Business,Male,Married,Senior Manager,Standard,1,1
40.0,1,2,3.0,2.0,1.0,34033.0,5,3.0,10.0,Self Enquiry,Small Business,Female,Divorced,VP,King,0,0
51.0,1,2,3.0,3.0,1.0,25650.0,2,5.0,14.0,Company Invited,Salaried,Male,Unmarried,Senior Manager,Standard,0,0
39.0,3,3,5.0,6.0,2.0,21536.0,3,5.0,7.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,0,0
43.0,1,2,4.0,2.0,1.0,29336.0,3,4.0,18.0,Self Enquiry,Salaried,Male,Married,AVP,Super Deluxe,0,0
35.0,1,3,3.0,2.0,0.0,16951.0,4,3.0,10.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,0
40.0,1,4,3.0,2.0,2.0,29616.0,2,4.0,9.0,Company Invited,Large Business,Female,Single,Senior Manager,Standard,0,1
27.0,3,3,3.0,3.0,1.0,23362.0,1,4.0,17.0,Self Enquiry,Small Business,Male,Unmarried,Manager,Deluxe,0,0
26.0,1,2,5.0,7.0,0.0,17042.0,5,3.0,8.0,Company Invited,Salaried,Male,Divorced,Executive,Basic,1,1
43.0,3,3,3.0,2.0,0.0,31959.0,2,3.0,32.0,Company Invited,Salaried,Male,Divorced,AVP,Super Deluxe,1,0
32.0,1,4,5.0,3.0,3.0,25511.0,2,4.0,18.0,Self Enquiry,Small Business,Male,Divorced,Manager,Deluxe,1,0
35.0,1,3,5.0,4.0,1.0,30309.0,2,5.0,12.0,Self Enquiry,Small Business,Female,Single,Senior Manager,Standard,0,0
34.0,1,3,4.0,8.0,2.0,21300.0,4,5.0,11.0,Self Enquiry,Small Business,Female,Married,Executive,Basic,0,0
31.0,1,2,4.0,2.0,1.0,16261.0,4,4.0,14.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,0,0
35.0,3,4,3.0,3.0,1.0,24392.0,1,4.0,16.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,0
42.0,3,3,3.0,2.0,2.0,24829.0,5,6.0,16.0,Company Invited,Salaried,Male,Married,AVP,Super Deluxe,0,1
34.0,1,2,5.0,4.0,1.0,20121.0,5,3.0,14.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,1
34.0,1,3,5.0,2.0,1.0,21385.0,3,4.0,9.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,0,1
34.0,1,2,4.0,1.0,0.0,26994.0,3,3.0,13.0,Self Enquiry,Salaried,Fe Male,Unmarried,Senior Manager,Standard,0,1
39.0,1,3,3.0,5.0,2.0,24939.0,2,4.0,36.0,Self Enquiry,Large Business,Male,Divorced,Manager,Deluxe,0,0
29.0,1,3,3.0,3.0,1.0,22119.0,1,4.0,12.0,Self Enquiry,Large Business,Male,Unmarried,Executive,Basic,1,0
35.0,1,2,3.0,3.0,1.0,20762.0,3,3.0,8.0,Company Invited,Small Business,Male,Married,Manager,Deluxe,0,0
26.0,3,2,3.0,2.0,1.0,20828.0,2,4.0,10.0,Self Enquiry,Small Business,Male,Single,Manager,Deluxe,1,1
37.0,1,3,3.0,7.0,1.0,21513.0,2,4.0,10.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,0,1
35.0,1,4,5.0,6.0,2.0,24024.0,3,4.0,16.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,0
40.0,1,3,3.0,2.0,1.0,30847.0,3,4.0,9.0,Company Invited,Salaried,Male,Married,AVP,Super Deluxe,0,1
33.0,3,2,3.0,2.0,0.0,17851.0,2,3.0,11.0,Self Enquiry,Small Business,Female,Single,Executive,Basic,1,1
38.0,3,3,4.0,1.0,0.0,17899.0,4,4.0,15.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,0,0
33.0,1,4,4.0,3.0,1.0,21421.0,5,5.0,20.0,Company Invited,Salaried,Female,Married,Executive,Basic,0,1
29.0,1,2,5.0,2.0,0.0,17319.0,2,4.0,6.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,1,0
34.0,1,3,3.0,2.0,1.0,30369.0,4,4.0,14.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,1
36.0,3,4,5.0,5.0,2.0,27644.0,3,4.0,24.0,Self Enquiry,Salaried,Male,Divorced,Manager,Deluxe,1,1
23.0,3,3,5.0,4.0,1.0,17322.0,3,3.0,8.0,Self Enquiry,Large Business,Male,Married,Executive,Basic,0,1
61.0,1,3,5.0,7.0,1.0,38244.0,5,4.0,14.0,Self Enquiry,Salaried,Female,Divorced,VP,King,0,0
55.0,3,2,3.0,1.0,0.0,28577.0,5,4.0,8.0,Company Invited,Salaried,Fe Male,Single,Executive,Basic,0,0
61.0,3,4,5.0,6.0,1.0,28944.0,2,5.0,35.0,Company Invited,Small Business,Female,Divorced,Senior Manager,Standard,0,1
28.0,3,4,4.0,2.0,2.0,25027.0,1,4.0,7.0,Company Invited,Small Business,Male,Married,Manager,Deluxe,1,0
36.0,1,3,4.0,2.0,1.0,21499.0,4,4.0,17.0,Company Invited,Salaried,Male,Unmarried,Manager,Deluxe,0,1
41.0,3,3,5.0,5.0,1.0,29610.0,5,6.0,35.0,Company Invited,Salaried,Male,Married,Senior Manager,Standard,0,1
33.0,1,4,3.0,2.0,3.0,23733.0,3,3.0,9.0,Self Enquiry,Small Business,Fe Male,Unmarried,Manager,Deluxe,0,1
40.0,1,2,3.0,3.0,1.0,17809.0,5,4.0,8.0,Self Enquiry,Salaried,Male,Single,Executive,Basic,0,0
31.0,1,3,3.0,6.0,2.0,20775.0,3,4.0,10.0,Company Invited,Salaried,Male,Divorced,Executive,Basic,0,0
39.0,1,4,5.0,3.0,2.0,32260.0,4,4.0,7.0,Self Enquiry,Large Business,Female,Married,Senior Manager,Standard,0,1
28.0,1,3,5.0,2.0,1.0,23722.0,1,4.0,30.0,Company Invited,Large Business,Male,Unmarried,Senior Manager,Standard,0,1
30.0,1,4,4.0,2.0,3.0,21858.0,5,4.0,9.0,Company Invited,Salaried,Female,Divorced,Executive,Basic,0,0
52.0,1,2,3.0,4.0,1.0,28826.0,5,4.0,31.0,Company Invited,Small Business,Female,Divorced,AVP,Super Deluxe,0,0
22.0,3,3,4.0,3.0,2.0,21394.0,5,3.0,19.0,Self Enquiry,Salaried,Female,Unmarried,Executive,Basic,0,0
27.0,3,2,4.0,2.0,1.0,21214.0,1,3.0,14.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,0,0
45.0,1,4,3.0,3.0,1.0,21614.0,3,4.0,17.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,1,1
36.0,3,2,5.0,1.0,0.0,22094.0,5,4.0,16.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,0
43.0,1,2,5.0,1.0,0.0,24985.0,5,3.0,13.0,Self Enquiry,Salaried,Female,Divorced,Senior Manager,Standard,0,1
36.0,1,2,4.0,1.0,0.0,20410.0,3,3.0,8.0,Self Enquiry,Salaried,Female,Single,Manager,Deluxe,1,1
55.0,1,3,4.0,1.0,2.0,33722.0,2,2.0,20.0,Self Enquiry,Small Business,Male,Single,VP,King,0,0
56.0,1,3,3.0,2.0,0.0,17587.0,3,3.0,30.0,Self Enquiry,Salaried,Male,Single,Executive,Basic,0,0
42.0,3,2,3.0,2.0,0.0,19907.0,3,3.0,6.0,Self Enquiry,Salaried,Male,Divorced,Manager,Deluxe,0,1
34.0,3,3,5.0,6.0,2.0,21500.0,1,3.0,14.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,1
51.0,1,3,3.0,4.0,0.0,17075.0,3,3.0,15.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
40.0,3,3,3.0,6.0,1.0,24580.0,5,5.0,11.0,Self Enquiry,Salaried,Female,Divorced,Manager,Deluxe,0,1
53.0,1,3,3.0,2.0,1.0,22936.0,3,4.0,26.0,Company Invited,Small Business,Male,Divorced,Executive,Basic,0,1
50.0,1,4,5.0,3.0,3.0,25245.0,2,4.0,27.0,Self Enquiry,Small Business,Female,Divorced,Manager,Deluxe,0,1
28.0,1,3,4.0,1.0,0.0,17216.0,2,5.0,6.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,1,1
38.0,3,4,3.0,6.0,3.0,25012.0,5,5.0,23.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,1
49.0,1,3,5.0,2.0,0.0,21567.0,1,3.0,26.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,0,1
30.0,2,3,5.0,3.0,1.0,26666.0,3,5.0,24.0,Self Enquiry,Salaried,Male,Unmarried,Senior Manager,Standard,0,0
32.0,1,3,4.0,1.0,0.0,18298.0,2,2.0,11.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,1,1
31.0,1,3,3.0,5.0,1.0,22511.0,4,6.0,7.0,Self Enquiry,Salaried,Male,Divorced,Executive,Basic,0,1
36.0,1,3,3.0,3.0,1.0,22692.0,3,4.0,28.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,1,0
18.0,3,3,4.0,2.0,2.0,16878.0,4,3.0,11.0,Company Invited,Small Business,Male,Single,Executive,Basic,1,1
42.0,1,2,5.0,1.0,1.0,17593.0,4,4.0,8.0,Self Enquiry,Small Business,Female,Married,Executive,Basic,1,1
25.0,3,4,3.0,3.0,1.0,22938.0,1,4.0,17.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,0
38.0,3,3,3.0,3.0,0.0,20405.0,3,5.0,8.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,0
29.0,1,3,3.0,3.0,2.0,20885.0,4,4.0,22.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
29.0,1,4,5.0,3.0,2.0,23236.0,1,4.0,24.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
29.0,1,2,5.0,2.0,1.0,24980.0,5,1.0,27.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,1
39.0,1,3,5.0,2.0,2.0,32068.0,3,3.0,16.0,Self Enquiry,Small Business,Male,Married,AVP,Super Deluxe,1,1
47.0,1,2,3.0,5.0,0.0,33300.0,1,3.0,11.0,Self Enquiry,Salaried,Male,Married,VP,King,0,1
61.0,3,3,5.0,2.0,1.0,24083.0,4,4.0,23.0,Self Enquiry,Small Business,Male,Unmarried,Manager,Deluxe,0,1
33.0,1,4,5.0,3.0,2.0,21117.0,1,4.0,9.0,Self Enquiry,Large Business,Male,Single,Executive,Basic,0,1
54.0,1,3,5.0,1.0,2.0,20485.0,3,3.0,25.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,0
42.0,3,2,5.0,1.0,0.0,20155.0,5,3.0,10.0,Self Enquiry,Small Business,Male,Single,Manager,Deluxe,0,1
36.0,1,4,4.0,2.0,1.0,26773.0,3,4.0,12.0,Self Enquiry,Large Business,Male,Unmarried,Senior Manager,Standard,0,0
34.0,3,3,5.0,6.0,0.0,21500.0,2,3.0,14.0,Self Enquiry,Salaried,Female,Divorced,Manager,Deluxe,0,1
27.0,1,3,3.0,3.0,2.0,20971.0,2,6.0,32.0,Self Enquiry,Salaried,Male,Single,Executive,Basic,0,1
46.0,3,2,5.0,4.0,1.0,33947.0,1,3.0,8.0,Self Enquiry,Small Business,Female,Single,VP,King,0,1
25.0,1,3,3.0,3.0,2.0,23295.0,3,5.0,7.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,1
24.0,1,4,3.0,3.0,1.0,21325.0,5,4.0,19.0,Self Enquiry,Salaried,Male,Unmarried,Executive,Basic,0,1
46.0,3,3,4.0,6.0,2.0,22314.0,1,3.0,16.0,Self Enquiry,Salaried,Female,Married,Senior Manager,Standard,0,0
44.0,3,3,5.0,4.0,2.0,34190.0,1,4.0,15.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
31.0,1,2,5.0,1.0,0.0,17321.0,3,4.0,15.0,Company Invited,Small Business,Male,Single,Executive,Basic,1,1
41.0,3,2,4.0,2.0,0.0,24355.0,3,3.0,10.0,Company Invited,Small Business,Male,Unmarried,Manager,Deluxe,0,1
27.0,2,3,3.0,2.0,2.0,21419.0,5,4.0,24.0,Company Invited,Salaried,Female,Married,Executive,Basic,1,0
44.0,3,3,5.0,6.0,1.0,20454.0,1,3.0,6.0,Self Enquiry,Small Business,Female,Married,Manager,Deluxe,1,1
33.0,3,4,3.0,4.0,1.0,23081.0,2,4.0,20.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,0
37.0,1,2,3.0,5.0,1.0,22491.0,5,3.0,6.0,Self Enquiry,Large Business,Female,Unmarried,Senior Manager,Standard,0,1
23.0,3,2,3.0,2.0,0.0,17275.0,1,3.0,13.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,1,1
40.0,1,3,3.0,2.0,1.0,23212.0,3,4.0,25.0,Self Enquiry,Salaried,Male,Unmarried,Manager,Deluxe,0,0
25.0,1,3,5.0,4.0,2.0,21850.0,3,4.0,16.0,Company Invited,Small Business,Male,Unmarried,Executive,Basic,1,0
37.0,1,3,5.0,2.0,0.0,18034.0,4,3.0,20.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,0,1
57.0,1,2,3.0,4.0,1.0,24439.0,4,2.0,30.0,Self Enquiry,Salaried,Male,Married,Senior Manager,Standard,1,1
34.0,1,2,4.0,2.0,0.0,23621.0,1,4.0,15.0,Self Enquiry,Small Business,Fe Male,Unmarried,Senior Manager,Standard,0,1
19.0,1,2,3.0,2.0,0.0,17994.0,5,1.0,31.0,Self Enquiry,Salaried,Female,Single,Executive,Basic,1,1
43.0,3,3,3.0,2.0,2.0,20675.0,3,3.0,8.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,1
25.0,3,4,4.0,3.0,1.0,20711.0,1,4.0,20.0,Company Invited,Salaried,Female,Divorced,Executive,Basic,0,0
26.0,1,4,3.0,3.0,2.0,23884.0,1,2.0,9.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,0
28.0,1,3,4.0,1.0,0.0,22655.0,4,3.0,9.0,Self Enquiry,Small Business,Female,Married,Senior Manager,Standard,0,0
25.0,1,3,3.0,3.0,2.0,21403.0,4,3.0,30.0,Self Enquiry,Small Business,Male,Divorced,Executive,Basic,1,0
52.0,1,4,3.0,3.0,1.0,21401.0,4,4.0,7.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
35.0,1,3,3.0,4.0,2.0,23082.0,3,2.0,15.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,0
22.0,1,4,3.0,3.0,2.0,21371.0,3,4.0,25.0,Self Enquiry,Salaried,Female,Unmarried,Executive,Basic,0,1
40.0,1,3,4.0,6.0,2.0,27054.0,3,4.0,13.0,Self Enquiry,Salaried,Fe Male,Unmarried,Senior Manager,Standard,0,0
43.0,1,3,3.0,7.0,2.0,21193.0,2,4.0,9.0,Company Invited,Small Business,Male,Single,Executive,Basic,1,0
30.0,1,4,3.0,2.0,1.0,20846.0,5,6.0,22.0,Self Enquiry,Salaried,Female,Divorced,Executive,Basic,1,1
47.0,1,2,3.0,4.0,0.0,32169.0,5,3.0,8.0,Self Enquiry,Small Business,Female,Divorced,AVP,Super Deluxe,0,1
50.0,3,3,3.0,3.0,2.0,26332.0,4,4.0,18.0,Self Enquiry,Small Business,Female,Divorced,Senior Manager,Standard,0,0
32.0,3,3,3.0,3.0,1.0,28530.0,1,4.0,9.0,Company Invited,Salaried,Female,Married,Senior Manager,Standard,1,1
34.0,3,3,3.0,2.0,2.0,25782.0,2,4.0,15.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,1
41.0,1,3,3.0,8.0,2.0,23772.0,5,5.0,23.0,Company Invited,Small Business,Male,Unmarried,Manager,Deluxe,0,1
30.0,3,2,3.0,2.0,0.0,16081.0,5,3.0,15.0,Self Enquiry,Small Business,Male,Single,Executive,Basic,0,0
51.0,3,3,3.0,5.0,2.0,35558.0,3,4.0,19.0,Company Invited,Salaried,Male,Single,Manager,Deluxe,1,1
28.0,3,2,3.0,4.0,1.0,24854.0,5,3.0,19.0,Self Enquiry,Small Business,Fe Male,Unmarried,Manager,Deluxe,1,1
43.0,3,3,4.0,2.0,1.0,25503.0,3,4.0,15.0,Self Enquiry,Small Business,Male,Married,Manager,Deluxe,0,1
30.0,1,4,3.0,6.0,1.0,21192.0,5,4.0,35.0,Self Enquiry,Salaried,Female,Married,Executive,Basic,0,1
33.0,1,4,3.0,3.0,1.0,24840.0,4,5.0,11.0,Self Enquiry,Salaried,Female,Divorced,Manager,Deluxe,0,1
54.0,3,4,3.0,2.0,2.0,29612.0,1,5.0,14.0,Self Enquiry,Small Business,Female,Married,Senior Manager,Standard,1,0
32.0,3,2,4.0,2.0,1.0,21524.0,3,3.0,11.0,Company Invited,Salaried,Male,Married,Manager,Deluxe,0,1
39.0,3,4,3.0,3.0,3.0,24021.0,4,4.0,17.0,Self Enquiry,Salaried,Female,Married,Manager,Deluxe,0,0
37.0,3,3,5.0,2.0,1.0,25772.0,5,5.0,17.0,Self Enquiry,Small Business,Male,Married,Senior Manager,Standard,0,0
24.0,1,3,3.0,3.0,2.0,21582.0,2,4.0,33.0,Self Enquiry,Salaried,Male,Married,Executive,Basic,0,1
36.0,3,3,3.0,3.0,1.0,23646.0,5,4.0,18.0,Company Invited,Small Business,Male,Married,Manager,Deluxe,0,0
36.0,1,3,3.0,7.0,0.0,20347.0,3,3.0,32.0,Self Enquiry,Salaried,Male,Married,Manager,Deluxe,0,1
